Date/Time,Status
Oct 01 2020 - 6:42 AM EST,Target - Console Out of Stock
Oct 01 2020 - 6:34 AM EST,Target - Console Preorder for $?
Sep 28 2020 - 8:54 AM EST,Target - Console Digital Edition Out of Stock
Sep 28 2020 - 8:46 AM EST,Target - Console Digital Edition Preorder for $?
Sep 26 2020 - 8:48 PM EST,Target - Console Digital Edition Out of Stock
Sep 26 2020 - 8:40 PM EST,Target - Console Digital Edition Preorder for $?
Sep 25 2020 - 11:28 AM EST,GameStop - Bundle: Console Starter System 11/30 Out of Stock
Sep 25 2020 - 3:58 AM EST,Target - Console Preorder for $?
Sep 23 2020 - 6:03 AM EST,Target - Console Preorder for $?
Sep 18 2020 - 6:24 AM EST,Walmart - Console Digital Edition Out of Stock
Sep 18 2020 - 6:16 AM EST,Walmart - Console Digital Edition Preorder for $399.00
Sep 17 2020 - 10:32 PM EST,Walmart - Console Out of Stock
Sep 17 2020 - 9:22 PM EST,Walmart - Console Preorder for $499.00
Sep 17 2020 - 1:38 PM EST,Sam's Club - Console Out of Stock
Sep 17 2020 - 5:40 AM EST,Target - Console Out of Stock
Sep 17 2020 - 4:04 AM EST,Target - Console Preorder for $?
Sep 17 2020 - 2:54 AM EST,Best Buy - Console Digital Edition Out of Stock
Sep 17 2020 - 2:12 AM EST,Best Buy - Console Digital Edition Preorder for $399.99
Sep 17 2020 - 1:50 AM EST,Best Buy - Console Digital Edition Out of Stock
Sep 17 2020 - 1:29 AM EST,Best Buy - Console Digital Edition Preorder for $399.99
Sep 17 2020 - 12:06 AM EST,Amazon - Console Digital Edition Out of Stock
Sep 16 2020 - 10:34 PM EST,GameStop - Bundle: Digital Edition Ultimate Out of Stock
Sep 16 2020 - 10:34 PM EST,GameStop - Bundle: Digital Edition Advanced Out of Stock
Sep 16 2020 - 10:34 PM EST,GameStop - Bundle: Console Ultimate Out of Stock
Sep 16 2020 - 10:34 PM EST,GameStop - Bundle: Console Advanced Out of Stock
Sep 16 2020 - 10:29 PM EST,Best Buy - Console Digital Edition Out of Stock
Sep 16 2020 - 10:28 PM EST,Best Buy - Console Out of Stock
Sep 16 2020 - 10:12 PM EST,Best Buy - Console Digital Edition Preorder for $399.99
Sep 16 2020 - 8:55 PM EST,GameStop - Bundle: Digital Edition Advanced Preorder for $689.99
Sep 16 2020 - 8:55 PM EST,GameStop - Bundle: Digital Edition Advanced Preorder for $689.99
Sep 16 2020 - 8:55 PM EST,Best Buy - Console Digital Edition Out of Stock
Sep 16 2020 - 8:54 PM EST,GameStop - Bundle: Digital Edition Ultimate Preorder for $759.99
Sep 16 2020 - 8:54 PM EST,GameStop - Bundle: Digital Edition Advanced Out of Stock
Sep 16 2020 - 8:54 PM EST,GameStop - Bundle: Console Ultimate Preorder for $879.99
Sep 16 2020 - 8:53 PM EST,GameStop - Bundle: Console Advanced Preorder for $749.99
Sep 16 2020 - 8:48 PM EST,GameStop - Console Digital Edition Out of Stock
Sep 16 2020 - 8:11 PM EST,Best Buy - Console Preorder for $499.99
Sep 16 2020 - 8:10 PM EST,Best Buy - Console Digital Edition Preorder for $399.99
Sep 16 2020 - 8:06 PM EST,Target - Console Out of Stock
Sep 16 2020 - 8:04 PM EST,Target - Console Digital Edition Out of Stock
Sep 16 2020 - 8:04 PM EST,Target - Console Preorder for $?
Sep 16 2020 - 7:05 PM EST,Walmart - Console Digital Edition Out of Stock
Sep 16 2020 - 3:43 PM EST,Amazon - Console Search Out of Stock
Aug 26 2020 - 1:02 PM EST,Amazon - Console Out of Stock
Aug 25 2020 - 4:15 PM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 1:47 PM EST,Amazon - Console Out of Stock
Aug 25 2020 - 11:40 AM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 11:18 AM EST,Amazon - Console Out of Stock
Aug 25 2020 - 8:30 AM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 7:48 AM EST,Amazon - Console Out of Stock
Aug 25 2020 - 7:27 AM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 7:06 AM EST,Amazon - Console Out of Stock
Aug 25 2020 - 6:02 AM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 5:41 AM EST,Amazon - Console Out of Stock
Aug 25 2020 - 2:52 AM EST,Amazon - Console Preorder for $?
Aug 25 2020 - 2:31 AM EST,Amazon - Console Out of Stock
Aug 25 2020 - 12:46 AM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 11:22 PM EST,Amazon - Console Out of Stock
Aug 24 2020 - 10:40 PM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 10:19 PM EST,Amazon - Console Out of Stock
Aug 24 2020 - 9:58 PM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 9:15 PM EST,Amazon - Console Out of Stock
Aug 24 2020 - 8:54 PM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 8:33 PM EST,Amazon - Console Out of Stock
Aug 24 2020 - 7:51 PM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 2:35 PM EST,Amazon - Console Out of Stock
Aug 24 2020 - 2:14 PM EST,Amazon - Console Preorder for $?
Aug 24 2020 - 10:23 AM EST,Amazon - Console Out of Stock
Aug 24 2020 - 10:02 AM EST,Amazon - Console Preorder for $?
Jul 28 2020 - 2:12 PM EST,GameStop - Console Out of Stock
Jul 27 2020 - 12:42 PM EST,GameStop - Console Preorder for $?
Jun 16 2020 - 2:35 PM EST,Walmart - Console Out of Stock
Jun 12 2020 - 12:13 PM EST,Walmart - Console Preorder for $?
Jun 12 2020 - 12:32 AM EST,Walmart - Console Out of Stock
Jun 11 2020 - 8:14 PM EST,Walmart - Console Preorder for $?
Mar 16 2020 - 5:24 PM EST,GameStop - Console Out of Stock
Mar 16 2020 - 3:40 PM EST,GameStop - Console Preorder for $?
Feb 03 2020 - 10:52 AM EST,Walmart - Console Out of Stock
Feb 03 2020 - 10:35 AM EST,GameStop - Console Out of Stock
Feb 03 2020 - 10:28 AM EST,Amazon - Console Out of Stock
