Date/Time,Status
Dec 29 2020 - 5:09 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 29 2020 - 5:08 PM EST,Playstation Direct - Console Out of Stock
Dec 29 2020 - 5:01 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 29 2020 - 3:43 PM EST,Amazon - Console Out of Stock
Dec 29 2020 - 3:42 PM EST,"Amazon - Console In Stock for $1,489.90"
Dec 29 2020 - 11:58 AM EST,Amazon - Console Digital Edition Out of Stock
Dec 29 2020 - 11:56 AM EST,Amazon - Console Digital Edition In Stock for $399.99
Dec 29 2020 - 11:19 AM EST,Amazon - Console Out of Stock
Dec 29 2020 - 11:10 AM EST,Amazon - Console In Stock for $499.99
Dec 29 2020 - 6:31 AM EST,Target - Console Digital Edition Out of Stock
Dec 29 2020 - 6:27 AM EST,Target - Console Digital Edition In Stock for $?
Dec 28 2020 - 4:16 PM EST,Playstation Direct - Console Out of Stock
Dec 28 2020 - 3:48 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 21 2020 - 1:18 PM EST,Best Buy - Console Digital Edition Out of Stock
Dec 21 2020 - 12:36 PM EST,Best Buy - Console Digital Edition In Stock for $399.99
Dec 21 2020 - 5:25 AM EST,Target - Console Digital Edition Out of Stock
Dec 21 2020 - 5:19 AM EST,Target - Console Digital Edition In Stock for $?
Dec 18 2020 - 5:42 PM EST,GameStop - Bundle: NBA 2K21 and Demon's Souls System Bundle Out of Stock
Dec 18 2020 - 5:25 PM EST,GameStop - Bundle: NBA 2K21 and Demon's Souls System Bundle Preorder for $709.99
Dec 18 2020 - 5:12 PM EST,GameStop - Bundle: Digital Edition Basics System Bundle Out of Stock
Dec 18 2020 - 5:08 PM EST,GameStop - Bundle: Holiday 2020 System Bundle Out of Stock
Dec 18 2020 - 5:08 PM EST,GameStop - Bundle: NBA 2K21 and Demon's Souls System Bundle Out of Stock
Dec 18 2020 - 4:56 PM EST,GameStop - Bundle: Digital Edition Basics System Bundle Preorder for $629.99
Dec 18 2020 - 4:51 PM EST,GameStop - Bundle: Holiday 2020 System Bundle Preorder for $709.99
Dec 18 2020 - 4:39 PM EST,GameStop - Bundle: Digital Edition Basics System Bundle Out of Stock
Dec 18 2020 - 4:35 PM EST,GameStop - Bundle: Holiday 2020 System Bundle Out of Stock
Dec 18 2020 - 4:18 PM EST,GameStop - Bundle: Holiday 2020 System Bundle with $20 GameStop gift card Out of Stock
Dec 18 2020 - 4:06 PM EST,GameStop - Bundle: NBA 2K21 and Demon's Souls System Bundle Preorder for $709.99
Dec 18 2020 - 4:06 PM EST,GameStop - Bundle: Holiday 2020 System Bundle Preorder for $709.99
Dec 18 2020 - 4:06 PM EST,GameStop - Bundle: Holiday 2020 System Bundle with $20 GameStop gift card Preorder for $729.99
Dec 18 2020 - 4:05 PM EST,GameStop - Bundle: Digital Edition Basics System Bundle Preorder for $629.99
Dec 18 2020 - 3:57 PM EST,Playstation Direct - Console Out of Stock
Dec 18 2020 - 3:55 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 18 2020 - 3:41 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 18 2020 - 3:41 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 18 2020 - 3:39 PM EST,Playstation Direct - Console Out of Stock
Dec 18 2020 - 3:37 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 18 2020 - 3:37 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 18 2020 - 3:34 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 17 2020 - 6:39 PM EST,Playstation Direct - Console Out of Stock
Dec 17 2020 - 6:24 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 17 2020 - 6:22 PM EST,Playstation Direct - Console Out of Stock
Dec 17 2020 - 6:19 PM EST,Playstation Direct - Console In Stock for $499.99
Dec 17 2020 - 3:21 PM EST,Walmart - Console Out of Stock
Dec 17 2020 - 3:21 PM EST,Walmart - Console In Stock for $499.00
Dec 16 2020 - 4:22 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 16 2020 - 4:12 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 16 2020 - 4:10 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Dec 16 2020 - 4:04 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Dec 15 2020 - 3:46 PM EST,Walmart - Console Out of Stock
Dec 15 2020 - 3:40 PM EST,Walmart - Console In Stock for $499.00
Dec 15 2020 - 3:37 PM EST,Walmart - Console Out of Stock
Dec 15 2020 - 3:31 PM EST,Walmart - Console In Stock for $499.00
