Date/Time_Start,Status,Price,Date,Site_Start,Type_Start,Edition_Start,Site_End,Type_End,Edition_End,Date/Time_End
2020-12-16 16:04:00,Playstation Direct - Console Digital Edition In Stock for $399.99,399.99,2020-12-16,Playstation Direct,Console Digital Edition In Stock for $399.99,Console Digital Edition,Playstation Direct,Console Digital Edition Out of Stock,Console Digital Edition,2020-12-16 16:10:00
2020-12-15 15:40:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:46:00
2020-12-15 15:37:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:40:00
2020-12-15 15:31:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:37:00
2020-12-15 15:25:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:31:00
2020-12-15 15:21:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:25:00
2020-12-15 15:18:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:21:00
2020-12-15 15:11:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:18:00
2020-12-15 15:05:00,Walmart - Console Out of Stock,,2020-12-15,Walmart,Console Out of Stock,Console,Walmart,Console In Stock for $499.00,Console,2020-12-15 15:11:00
2020-12-15 15:03:00,Walmart - Console In Stock for $499.00,499.0,2020-12-15,Walmart,Console In Stock for $499.00,Console,Walmart,Console Out of Stock,Console,2020-12-15 15:05:00
